,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp
1765,Australia,Sweet potatoes,2013,344391,534.0,45177.18,14.74
1766,Australia,Sweet potatoes,2013,344391,534.0,45177.18,19.98
1767,Australia,Sweet potatoes,2013,344391,534.0,45177.18,18.09
1768,Australia,Wheat,2013,17609,534.0,45177.18,17.39
1769,Australia,Wheat,2013,17609,534.0,45177.18,20.14
1770,Australia,Wheat,2013,17609,534.0,45177.18,12.19
1771,Australia,Wheat,2013,17609,534.0,45177.18,14.74
1772,Australia,Wheat,2013,17609,534.0,45177.18,19.98
1773,Australia,Wheat,2013,17609,534.0,45177.18,18.09
1865,Austria,Maize,2013,81173,1110.0,3108.6,10.03
1866,Austria,Potatoes,2013,285897,1110.0,3108.6,10.03
1867,Austria,Sorghum,2013,52447,1110.0,3108.6,10.03
1868,Austria,Soybeans,2013,19697,1110.0,3108.6,10.03
1869,Austria,Wheat,2013,53743,1110.0,3108.6,10.03
1980,Azerbaijan,Maize,2013,53903,447.0,489.8,14.12
1981,Azerbaijan,Potatoes,2013,151999,447.0,489.8,14.12
1982,Azerbaijan,"Rice, paddy",2013,22808,447.0,489.8,14.12
1983,Azerbaijan,Sorghum,2013,5000,447.0,489.8,14.12
1984,Azerbaijan,Soybeans,2013,6457,447.0,489.8,14.12
1985,Azerbaijan,Wheat,2013,26719,447.0,489.8,14.12
2049,Bahamas,Cassava,2013,221509,1292.0,268.2,25.88
2050,Bahamas,Maize,2013,74465,1292.0,268.2,25.88
2051,Bahamas,Plantains and others,2013,76928,1292.0,268.2,25.88
2052,Bahamas,Sweet potatoes,2013,34953,1292.0,268.2,25.88
2081,Bahrain,Potatoes,2013,179569,83.0,9.14,27.86
2362,Bangladesh,Maize,2013,65953,2666.0,15330.16,26.59
2363,Bangladesh,Maize,2013,65953,2666.0,15330.16,26.59
2364,Bangladesh,Potatoes,2013,193790,2666.0,15330.16,26.59
2365,Bangladesh,Potatoes,2013,193790,2666.0,15330.16,26.59
2366,Bangladesh,"Rice, paddy",2013,45317,2666.0,15330.16,26.59
2367,Bangladesh,"Rice, paddy",2013,45317,2666.0,15330.16,26.59
2368,Bangladesh,Sorghum,2013,11343,2666.0,15330.16,26.59
2369,Bangladesh,Sorghum,2013,11343,2666.0,15330.16,26.59
2370,Bangladesh,Soybeans,2013,14729,2666.0,15330.16,26.59
2371,Bangladesh,Soybeans,2013,14729,2666.0,15330.16,26.59
2372,Bangladesh,Sweet potatoes,2013,97019,2666.0,15330.16,26.59
2373,Bangladesh,Sweet potatoes,2013,97019,2666.0,15330.16,26.59
2374,Bangladesh,Wheat,2013,30138,2666.0,15330.16,26.59
2375,Bangladesh,Wheat,2013,30138,2666.0,15330.16,26.59
2436,Belarus,Maize,2013,55656,618.0,9163.51,7.83
2437,Belarus,Potatoes,2013,193536,618.0,9163.51,7.83
2438,Belarus,Wheat,2013,30610,618.0,9163.51,7.83
2475,Belgium,Maize,2013,111500,847.0,5905.6,10.36
2476,Belgium,Potatoes,2013,454642,847.0,5905.6,10.36
2477,Belgium,Wheat,2013,89349,847.0,5905.6,10.36
2540,Botswana,Maize,2013,849,416.0,17.0,18.69
2541,Botswana,Sorghum,2013,3168,416.0,17.0,18.69
4720,Brazil,Cassava,2013,140795,1761.0,367778.0,21.59
4721,Brazil,Cassava,2013,140795,1761.0,367778.0,20.07
4722,Brazil,Cassava,2013,140795,1761.0,367778.0,17.57
4723,Brazil,Cassava,2013,140795,1761.0,367778.0,17.57
4724,Brazil,Cassava,2013,140795,1761.0,367778.0,27.71
4725,Brazil,Cassava,2013,140795,1761.0,367778.0,20.07
4726,Brazil,Cassava,2013,140795,1761.0,367778.0,27.11
4727,Brazil,Cassava,2013,140795,1761.0,367778.0,17.84
4728,Brazil,Cassava,2013,140795,1761.0,367778.0,26.4
4729,Brazil,Cassava,2013,140795,1761.0,367778.0,25.19
4730,Brazil,Cassava,2013,140795,1761.0,367778.0,26.14
4731,Brazil,Maize,2013,52536,1761.0,367778.0,21.59
4732,Brazil,Maize,2013,52536,1761.0,367778.0,20.07
4733,Brazil,Maize,2013,52536,1761.0,367778.0,17.57
4734,Brazil,Maize,2013,52536,1761.0,367778.0,17.57
4735,Brazil,Maize,2013,52536,1761.0,367778.0,27.71
4736,Brazil,Maize,2013,52536,1761.0,367778.0,20.07
4737,Brazil,Maize,2013,52536,1761.0,367778.0,27.11
4738,Brazil,Maize,2013,52536,1761.0,367778.0,17.84
4739,Brazil,Maize,2013,52536,1761.0,367778.0,26.4
4740,Brazil,Maize,2013,52536,1761.0,367778.0,25.19
4741,Brazil,Maize,2013,52536,1761.0,367778.0,26.14
4742,Brazil,Potatoes,2013,277517,1761.0,367778.0,21.59
4743,Brazil,Potatoes,2013,277517,1761.0,367778.0,20.07
4744,Brazil,Potatoes,2013,277517,1761.0,367778.0,17.57
4745,Brazil,Potatoes,2013,277517,1761.0,367778.0,17.57
4746,Brazil,Potatoes,2013,277517,1761.0,367778.0,27.71
4747,Brazil,Potatoes,2013,277517,1761.0,367778.0,20.07
4748,Brazil,Potatoes,2013,277517,1761.0,367778.0,27.11
4749,Brazil,Potatoes,2013,277517,1761.0,367778.0,17.84
4750,Brazil,Potatoes,2013,277517,1761.0,367778.0,26.4
4751,Brazil,Potatoes,2013,277517,1761.0,367778.0,25.19
4752,Brazil,Potatoes,2013,277517,1761.0,367778.0,26.14
4753,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,21.59
4754,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,20.07
4755,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,17.57
4756,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,17.57
4757,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,27.71
4758,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,20.07
4759,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,27.11
4760,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,17.84
4761,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,26.4
4762,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,25.19
4763,Brazil,"Rice, paddy",2013,50071,1761.0,367778.0,26.14
4764,Brazil,Sorghum,2013,26817,1761.0,367778.0,21.59
4765,Brazil,Sorghum,2013,26817,1761.0,367778.0,20.07
4766,Brazil,Sorghum,2013,26817,1761.0,367778.0,17.57
4767,Brazil,Sorghum,2013,26817,1761.0,367778.0,17.57
4768,Brazil,Sorghum,2013,26817,1761.0,367778.0,27.71
4769,Brazil,Sorghum,2013,26817,1761.0,367778.0,20.07
4770,Brazil,Sorghum,2013,26817,1761.0,367778.0,27.11
4771,Brazil,Sorghum,2013,26817,1761.0,367778.0,17.84
4772,Brazil,Sorghum,2013,26817,1761.0,367778.0,26.4
4773,Brazil,Sorghum,2013,26817,1761.0,367778.0,25.19
4774,Brazil,Sorghum,2013,26817,1761.0,367778.0,26.14
4775,Brazil,Soybeans,2013,29285,1761.0,367778.0,21.59
4776,Brazil,Soybeans,2013,29285,1761.0,367778.0,20.07
4777,Brazil,Soybeans,2013,29285,1761.0,367778.0,17.57
4778,Brazil,Soybeans,2013,29285,1761.0,367778.0,17.57
4779,Brazil,Soybeans,2013,29285,1761.0,367778.0,27.71
4780,Brazil,Soybeans,2013,29285,1761.0,367778.0,20.07
4781,Brazil,Soybeans,2013,29285,1761.0,367778.0,27.11
4782,Brazil,Soybeans,2013,29285,1761.0,367778.0,17.84
4783,Brazil,Soybeans,2013,29285,1761.0,367778.0,26.4
4784,Brazil,Soybeans,2013,29285,1761.0,367778.0,25.19
4785,Brazil,Soybeans,2013,29285,1761.0,367778.0,26.14
4786,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,21.59
4787,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,20.07
4788,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,17.57
4789,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,17.57
4790,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,27.71
4791,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,20.07
4792,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,27.11
4793,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,17.84
4794,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,26.4
4795,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,25.19
4796,Brazil,Sweet potatoes,2013,130913,1761.0,367778.0,26.14
4797,Brazil,Wheat,2013,27491,1761.0,367778.0,21.59
4798,Brazil,Wheat,2013,27491,1761.0,367778.0,20.07
4799,Brazil,Wheat,2013,27491,1761.0,367778.0,17.57
4800,Brazil,Wheat,2013,27491,1761.0,367778.0,17.57
4801,Brazil,Wheat,2013,27491,1761.0,367778.0,27.71
4802,Brazil,Wheat,2013,27491,1761.0,367778.0,20.07
4803,Brazil,Wheat,2013,27491,1761.0,367778.0,27.11
4804,Brazil,Wheat,2013,27491,1761.0,367778.0,17.84
4805,Brazil,Wheat,2013,27491,1761.0,367778.0,26.4
4806,Brazil,Wheat,2013,27491,1761.0,367778.0,25.19
4807,Brazil,Wheat,2013,27491,1761.0,367778.0,26.14
4808,Brazil,Yams,2013,96078,1761.0,367778.0,21.59
4809,Brazil,Yams,2013,96078,1761.0,367778.0,20.07
4810,Brazil,Yams,2013,96078,1761.0,367778.0,17.57
4811,Brazil,Yams,2013,96078,1761.0,367778.0,17.57
4812,Brazil,Yams,2013,96078,1761.0,367778.0,27.71
4813,Brazil,Yams,2013,96078,1761.0,367778.0,20.07
4814,Brazil,Yams,2013,96078,1761.0,367778.0,27.11
4815,Brazil,Yams,2013,96078,1761.0,367778.0,17.84
4816,Brazil,Yams,2013,96078,1761.0,367778.0,26.4
4817,Brazil,Yams,2013,96078,1761.0,367778.0,25.19
4818,Brazil,Yams,2013,96078,1761.0,367778.0,26.14
4951,Bulgaria,Maize,2013,63943,608.0,1197.0,11.26
4952,Bulgaria,Potatoes,2013,146125,608.0,1197.0,11.26
4953,Bulgaria,"Rice, paddy",2013,54945,608.0,1197.0,11.26
4954,Bulgaria,Sorghum,2013,26792,608.0,1197.0,11.26
4955,Bulgaria,Soybeans,2013,17976,608.0,1197.0,11.26
4956,Bulgaria,Wheat,2013,41885,608.0,1197.0,11.26
5133,Burkina Faso,Cassava,2013,13594,748.0,843.0,29.41
5134,Burkina Faso,Maize,2013,17353,748.0,843.0,29.41
5135,Burkina Faso,Potatoes,2013,19481,748.0,843.0,29.41
5136,Burkina Faso,"Rice, paddy",2013,21993,748.0,843.0,29.41
5137,Burkina Faso,Sorghum,2013,10409,748.0,843.0,29.41
5138,Burkina Faso,Soybeans,2013,13512,748.0,843.0,29.41
5139,Burkina Faso,Sweet potatoes,2013,146793,748.0,843.0,29.41
5140,Burkina Faso,Yams,2013,58594,748.0,843.0,29.41
5339,Burundi,Cassava,2013,68749,1274.0,956.06,21.53
5340,Burundi,Maize,2013,13218,1274.0,956.06,21.53
5341,Burundi,Potatoes,2013,62252,1274.0,956.06,21.53
5342,Burundi,"Rice, paddy",2013,19130,1274.0,956.06,21.53
5343,Burundi,Sorghum,2013,6513,1274.0,956.06,21.53
5344,Burundi,Soybeans,2013,9554,1274.0,956.06,21.53
5345,Burundi,Sweet potatoes,2013,104528,1274.0,956.06,21.53
5346,Burundi,Wheat,2013,7276,1274.0,956.06,21.53
5347,Burundi,Yams,2013,79279,1274.0,956.06,21.53
5568,Cameroon,Cassava,2013,147894,1604.0,1372.47,25.45
5569,Cameroon,Maize,2013,19787,1604.0,1372.47,25.45
5570,Cameroon,Plantains and others,2013,119444,1604.0,1372.47,25.45
5571,Cameroon,Potatoes,2013,133560,1604.0,1372.47,25.45
5572,Cameroon,"Rice, paddy",2013,11641,1604.0,1372.47,25.45
5573,Cameroon,Sorghum,2013,15074,1604.0,1372.47,25.45
5574,Cameroon,Soybeans,2013,13228,1604.0,1372.47,25.45
5575,Cameroon,Sweet potatoes,2013,54288,1604.0,1372.47,25.45
5576,Cameroon,Wheat,2013,12879,1604.0,1372.47,25.45
5577,Cameroon,Yams,2013,103844,1604.0,1372.47,25.45
6106,Canada,Maize,2013,95878,537.0,81659.8,9.19
6107,Canada,Maize,2013,95878,537.0,81659.8,10.11
6108,Canada,Maize,2013,95878,537.0,81659.8,7.86
6109,Canada,Maize,2013,95878,537.0,81659.8,7.08
6110,Canada,Maize,2013,95878,537.0,81659.8,8.46
6111,Canada,Maize,2013,95878,537.0,81659.8,9.85
6112,Canada,Potatoes,2013,132270,537.0,81659.8,9.19
6113,Canada,Potatoes,2013,132270,537.0,81659.8,10.11
6114,Canada,Potatoes,2013,132270,537.0,81659.8,7.86
6115,Canada,Potatoes,2013,132270,537.0,81659.8,7.08
6116,Canada,Potatoes,2013,132270,537.0,81659.8,8.46
6117,Canada,Potatoes,2013,132270,537.0,81659.8,9.85
6118,Canada,Soybeans,2013,28810,537.0,81659.8,9.19
6119,Canada,Soybeans,2013,28810,537.0,81659.8,10.11
6120,Canada,Soybeans,2013,28810,537.0,81659.8,7.86
6121,Canada,Soybeans,2013,28810,537.0,81659.8,7.08
6122,Canada,Soybeans,2013,28810,537.0,81659.8,8.46
6123,Canada,Soybeans,2013,28810,537.0,81659.8,9.85
6124,Canada,Wheat,2013,35943,537.0,81659.8,9.19
6125,Canada,Wheat,2013,35943,537.0,81659.8,10.11
6126,Canada,Wheat,2013,35943,537.0,81659.8,7.86
6127,Canada,Wheat,2013,35943,537.0,81659.8,7.08
6128,Canada,Wheat,2013,35943,537.0,81659.8,8.46
6129,Canada,Wheat,2013,35943,537.0,81659.8,9.85
6284,Central African Republic,Cassava,2013,28375,1342.0,22.87,25.69
6285,Central African Republic,Maize,2013,12446,1342.0,22.87,25.69
6286,Central African Republic,Plantains and others,2013,28626,1342.0,22.87,25.69
6287,Central African Republic,Potatoes,2013,11818,1342.0,22.87,25.69
6288,Central African Republic,"Rice, paddy",2013,18665,1342.0,22.87,25.69
6289,Central African Republic,Sorghum,2013,10529,1342.0,22.87,25.69
6290,Central African Republic,Yams,2013,78333,1342.0,22.87,25.69
6511,Chile,Maize,2013,106321,1522.0,9830.72,13.07
6512,Chile,Maize,2013,106321,1522.0,9830.72,5.94
6513,Chile,Potatoes,2013,233767,1522.0,9830.72,13.07
6514,Chile,Potatoes,2013,233767,1522.0,9830.72,5.94
6515,Chile,"Rice, paddy",2013,62051,1522.0,9830.72,13.07
6516,Chile,"Rice, paddy",2013,62051,1522.0,9830.72,5.94
6517,Chile,Sweet potatoes,2013,107692,1522.0,9830.72,13.07
6518,Chile,Sweet potatoes,2013,107692,1522.0,9830.72,5.94
6519,Chile,Wheat,2013,58143,1522.0,9830.72,13.07
6520,Chile,Wheat,2013,58143,1522.0,9830.72,5.94
6917,Colombia,Cassava,2013,99633,3240.0,54563.38,27.6
6918,Colombia,Cassava,2013,99633,3240.0,54563.38,22.85
6919,Colombia,Maize,2013,28246,3240.0,54563.38,27.6
6920,Colombia,Maize,2013,28246,3240.0,54563.38,22.85
6921,Colombia,Plantains and others,2013,84230,3240.0,54563.38,27.6
6922,Colombia,Plantains and others,2013,84230,3240.0,54563.38,22.85
6923,Colombia,Potatoes,2013,185619,3240.0,54563.38,27.6
6924,Colombia,Potatoes,2013,185619,3240.0,54563.38,22.85
6925,Colombia,"Rice, paddy",2013,38371,3240.0,54563.38,27.6
6926,Colombia,"Rice, paddy",2013,38371,3240.0,54563.38,22.85
6927,Colombia,Sorghum,2013,32034,3240.0,54563.38,27.6
6928,Colombia,Sorghum,2013,32034,3240.0,54563.38,22.85
6929,Colombia,Soybeans,2013,27250,3240.0,54563.38,27.6
6930,Colombia,Soybeans,2013,27250,3240.0,54563.38,22.85
6931,Colombia,Wheat,2013,16938,3240.0,54563.38,27.6
6932,Colombia,Wheat,2013,16938,3240.0,54563.38,22.85
6933,Colombia,Yams,2013,109992,3240.0,54563.38,27.6
6934,Colombia,Yams,2013,109992,3240.0,54563.38,22.85
7035,Croatia,Maize,2013,65000,1113.0,1836.21,11.58
7036,Croatia,Potatoes,2013,158785,1113.0,1836.21,11.58
7037,Croatia,Sorghum,2013,50203,1113.0,1836.21,11.58
7038,Croatia,Soybeans,2013,23606,1113.0,1836.21,11.58
7039,Croatia,Wheat,2013,48846,1113.0,1836.21,11.58
7049,Denmark,Maize,2013,59141,703.0,4118.0,8.81
7050,Denmark,Potatoes,2013,415732,703.0,4118.0,8.81
7051,Denmark,Wheat,2013,72992,703.0,4118.0,8.81
7442,Dominican Republic,Cassava,2013,74585,1410.0,6316.61,26.51
7443,Dominican Republic,Cassava,2013,74585,1410.0,6316.61,26.88
7444,Dominican Republic,Maize,2013,15764,1410.0,6316.61,26.51
7445,Dominican Republic,Maize,2013,15764,1410.0,6316.61,26.88
7446,Dominican Republic,Plantains and others,2013,199939,1410.0,6316.61,26.51
7447,Dominican Republic,Plantains and others,2013,199939,1410.0,6316.61,26.88
7448,Dominican Republic,Potatoes,2013,256603,1410.0,6316.61,26.51
7449,Dominican Republic,Potatoes,2013,256603,1410.0,6316.61,26.88
7450,Dominican Republic,"Rice, paddy",2013,45123,1410.0,6316.61,26.51
7451,Dominican Republic,"Rice, paddy",2013,45123,1410.0,6316.61,26.88
7452,Dominican Republic,Sorghum,2013,15303,1410.0,6316.61,26.51
7453,Dominican Republic,Sorghum,2013,15303,1410.0,6316.61,26.88
7454,Dominican Republic,Sweet potatoes,2013,79812,1410.0,6316.61,26.51
7455,Dominican Republic,Sweet potatoes,2013,79812,1410.0,6316.61,26.88
7456,Dominican Republic,Yams,2013,63432,1410.0,6316.61,26.51
7457,Dominican Republic,Yams,2013,63432,1410.0,6316.61,26.88
8052,Ecuador,Cassava,2013,25112,2274.0,6471.77,21.69
8053,Ecuador,Cassava,2013,25112,2274.0,6471.77,17.28
8054,Ecuador,Cassava,2013,25112,2274.0,6471.77,21.94
8055,Ecuador,Maize,2013,23702,2274.0,6471.77,21.69
8056,Ecuador,Maize,2013,23702,2274.0,6471.77,17.28
8057,Ecuador,Maize,2013,23702,2274.0,6471.77,21.94
8058,Ecuador,Plantains and others,2013,49591,2274.0,6471.77,21.69
8059,Ecuador,Plantains and others,2013,49591,2274.0,6471.77,17.28
8060,Ecuador,Plantains and others,2013,49591,2274.0,6471.77,21.94
8061,Ecuador,Potatoes,2013,73131,2274.0,6471.77,21.69
8062,Ecuador,Potatoes,2013,73131,2274.0,6471.77,17.28
8063,Ecuador,Potatoes,2013,73131,2274.0,6471.77,21.94
8064,Ecuador,"Rice, paddy",2013,38210,2274.0,6471.77,21.69
8065,Ecuador,"Rice, paddy",2013,38210,2274.0,6471.77,17.28
8066,Ecuador,"Rice, paddy",2013,38210,2274.0,6471.77,21.94
8067,Ecuador,Sorghum,2013,15608,2274.0,6471.77,21.69
8068,Ecuador,Sorghum,2013,15608,2274.0,6471.77,17.28
8069,Ecuador,Sorghum,2013,15608,2274.0,6471.77,21.94
8070,Ecuador,Soybeans,2013,16585,2274.0,6471.77,21.69
8071,Ecuador,Soybeans,2013,16585,2274.0,6471.77,17.28
8072,Ecuador,Soybeans,2013,16585,2274.0,6471.77,21.94
8073,Ecuador,Sweet potatoes,2013,19113,2274.0,6471.77,21.69
8074,Ecuador,Sweet potatoes,2013,19113,2274.0,6471.77,17.28
8075,Ecuador,Sweet potatoes,2013,19113,2274.0,6471.77,21.94
8076,Ecuador,Wheat,2013,7064,2274.0,6471.77,21.69
8077,Ecuador,Wheat,2013,7064,2274.0,6471.77,17.28
8078,Ecuador,Wheat,2013,7064,2274.0,6471.77,21.94
8387,Egypt,Maize,2013,77223,51.0,13653.0,21.44
8388,Egypt,Maize,2013,77223,51.0,13653.0,22.91
8389,Egypt,Potatoes,2013,266276,51.0,13653.0,21.44
8390,Egypt,Potatoes,2013,266276,51.0,13653.0,22.91
8391,Egypt,"Rice, paddy",2013,95865,51.0,13653.0,21.44
8392,Egypt,"Rice, paddy",2013,95865,51.0,13653.0,22.91
8393,Egypt,Sorghum,2013,53777,51.0,13653.0,21.44
8394,Egypt,Sorghum,2013,53777,51.0,13653.0,22.91
8395,Egypt,Soybeans,2013,34767,51.0,13653.0,21.44
8396,Egypt,Soybeans,2013,34767,51.0,13653.0,22.91
8397,Egypt,Sweet potatoes,2013,336781,51.0,13653.0,21.44
8398,Egypt,Sweet potatoes,2013,336781,51.0,13653.0,22.91
8399,Egypt,Wheat,2013,66682,51.0,13653.0,21.44
8400,Egypt,Wheat,2013,66682,51.0,13653.0,22.91
8577,El Salvador,Cassava,2013,154928,1784.0,6005.08,26.36
8578,El Salvador,Maize,2013,29461,1784.0,6005.08,26.36
8579,El Salvador,Plantains and others,2013,153680,1784.0,6005.08,26.36
8580,El Salvador,Potatoes,2013,426047,1784.0,6005.08,26.36
8581,El Salvador,"Rice, paddy",2013,61615,1784.0,6005.08,26.36
8582,El Salvador,Sorghum,2013,16633,1784.0,6005.08,26.36
8583,El Salvador,Soybeans,2013,19231,1784.0,6005.08,26.36
8584,El Salvador,Sweet potatoes,2013,58333,1784.0,6005.08,26.36
8661,Eritrea,Maize,2013,10000,383.0,27.63,25.87
8662,Eritrea,Potatoes,2013,12819,383.0,27.63,25.87
8663,Eritrea,Sorghum,2013,1200,383.0,27.63,25.87
8664,Eritrea,Wheat,2013,12000,383.0,27.63,25.87
8705,Estonia,Potatoes,2013,193558,626.0,567.0,7.28
8706,Estonia,Wheat,2013,32754,626.0,567.0,7.28
8751,Finland,Potatoes,2013,281312,536.0,1475.39,6.17
8752,Finland,Wheat,2013,38215,536.0,1475.39,6.17
8885,France,Maize,2013,81592,867.0,66497.29,11.01
8886,France,Potatoes,2013,431560,867.0,66497.29,11.01
8887,France,"Rice, paddy",2013,39400,867.0,66497.29,11.01
8888,France,Sorghum,2013,54344,867.0,66497.29,11.01
8889,France,Soybeans,2013,25599,867.0,66497.29,11.01
8890,France,Wheat,2013,72656,867.0,66497.29,11.01
9149,Germany,Maize,2013,88276,700.0,43756.1,10.12
9150,Germany,Maize,2013,88276,700.0,43756.1,9.17
9151,Germany,Maize,2013,88276,700.0,43756.1,6.0
9152,Germany,Potatoes,2013,398258,700.0,43756.1,10.12
9153,Germany,Potatoes,2013,398258,700.0,43756.1,9.17
9154,Germany,Potatoes,2013,398258,700.0,43756.1,6.0
9155,Germany,Soybeans,2013,20000,700.0,43756.1,10.12
9156,Germany,Soybeans,2013,20000,700.0,43756.1,9.17
9157,Germany,Soybeans,2013,20000,700.0,43756.1,6.0
9158,Germany,Wheat,2013,79979,700.0,43756.1,10.12
9159,Germany,Wheat,2013,79979,700.0,43756.1,9.17
9160,Germany,Wheat,2013,79979,700.0,43756.1,6.0
9309,Ghana,Cassava,2013,182704,1187.0,378.97,27.24
9310,Ghana,Maize,2013,17240,1187.0,378.97,27.24
9311,Ghana,Plantains and others,2013,108397,1187.0,378.97,27.24
9312,Ghana,"Rice, paddy",2013,26378,1187.0,378.97,27.24
9313,Ghana,Sorghum,2013,11369,1187.0,378.97,27.24
9314,Ghana,Sweet potatoes,2013,18243,1187.0,378.97,27.24
9315,Ghana,Yams,2013,167820,1187.0,378.97,27.24
9470,Greece,Maize,2013,106689,652.0,8081.72,19.36
