,index,Animal,Count,Rank
23,2015,Sheep,9,4
23,2015,Sheep,9,5
23,2015,Sheep,9,6
23,2015,Sheep,9,7
23,2015,Sheep,9,8
23,2015,Sheep,9,9
24,2016,Sheep,8,1
24,2016,Sheep,8,2
24,2016,Sheep,8,3
24,2016,Sheep,8,4
24,2016,Sheep,8,5
24,2016,Sheep,8,6
24,2016,Sheep,8,7
24,2016,Sheep,8,8
25,2017,Sheep,6,1
25,2017,Sheep,6,2
25,2017,Sheep,6,3
25,2017,Sheep,6,4
25,2017,Sheep,6,5
25,2017,Sheep,6,6
26,2018,Sheep,8,1
26,2018,Sheep,8,2
26,2018,Sheep,8,3
26,2018,Sheep,8,4
26,2018,Sheep,8,5
26,2018,Sheep,8,6
26,2018,Sheep,8,7
26,2018,Sheep,8,8
27,2019,Sheep,9,1
27,2019,Sheep,9,2
27,2019,Sheep,9,3
27,2019,Sheep,9,4
27,2019,Sheep,9,5
27,2019,Sheep,9,6
27,2019,Sheep,9,7
27,2019,Sheep,9,8
27,2019,Sheep,9,9
28,2020,Sheep,8,1
28,2020,Sheep,8,2
28,2020,Sheep,8,3
28,2020,Sheep,8,4
28,2020,Sheep,8,5
28,2020,Sheep,8,6
28,2020,Sheep,8,7
28,2020,Sheep,8,8
29,2021,Sheep,5,1
29,2021,Sheep,5,2
29,2021,Sheep,5,3
29,2021,Sheep,5,4
29,2021,Sheep,5,5
30,2022,Sheep,6,1
30,2022,Sheep,6,2
30,2022,Sheep,6,3
30,2022,Sheep,6,4
30,2022,Sheep,6,5
30,2022,Sheep,6,6
31,2023,Sheep,8,1
31,2023,Sheep,8,2
31,2023,Sheep,8,3
31,2023,Sheep,8,4
31,2023,Sheep,8,5
31,2023,Sheep,8,6
31,2023,Sheep,8,7
31,2023,Sheep,8,8
32,2024,Sheep,10,1
32,2024,Sheep,10,2
32,2024,Sheep,10,3
32,2024,Sheep,10,4
32,2024,Sheep,10,5
32,2024,Sheep,10,6
32,2024,Sheep,10,7
32,2024,Sheep,10,8
32,2024,Sheep,10,9
32,2024,Sheep,10,10
33,2014,Pig,4,1
33,2014,Pig,4,2
33,2014,Pig,4,3
33,2014,Pig,4,4
34,2015,Pig,4,1
34,2015,Pig,4,2
34,2015,Pig,4,3
34,2015,Pig,4,4
35,2016,Pig,4,1
35,2016,Pig,4,2
35,2016,Pig,4,3
35,2016,Pig,4,4
36,2017,Pig,5,1
36,2017,Pig,5,2
36,2017,Pig,5,3
36,2017,Pig,5,4
36,2017,Pig,5,5
37,2018,Pig,5,1
37,2018,Pig,5,2
37,2018,Pig,5,3
37,2018,Pig,5,4
37,2018,Pig,5,5
38,2019,Pig,5,1
38,2019,Pig,5,2
38,2019,Pig,5,3
38,2019,Pig,5,4
38,2019,Pig,5,5
39,2020,Pig,5,1
39,2020,Pig,5,2
39,2020,Pig,5,3
39,2020,Pig,5,4
39,2020,Pig,5,5
40,2021,Pig,5,1
40,2021,Pig,5,2
40,2021,Pig,5,3
40,2021,Pig,5,4
40,2021,Pig,5,5
41,2022,Pig,5,1
41,2022,Pig,5,2
41,2022,Pig,5,3
41,2022,Pig,5,4
41,2022,Pig,5,5
42,2023,Pig,5,1
42,2023,Pig,5,2
42,2023,Pig,5,3
42,2023,Pig,5,4
42,2023,Pig,5,5
43,2024,Pig,5,1
43,2024,Pig,5,2
43,2024,Pig,5,3
43,2024,Pig,5,4
43,2024,Pig,5,5
